2.45;2.45;1;1;3.5;3;0;0.5;1;1;1;1;1;1;2;2.075;1.075;1;1.5;1;0;2.4;2.25;1.55;0.5;1;1;0.5;2.5;1;1.4;1;1;1;1;1.65;1.5;2.15;1.5;6.15;0.5;3.15
2;3.4;3.65;3.3;2.05;1;1;1;1;1;1.4;1.4;1;1;1;1.65;1.65;1.5;2;1;0;2.35;3.65;2.2;1;1;3.5;0.55;0.5;1.25;1.6;1.5;1;1;1;1;2;1.075;2;0.5;1;1
2.5;3.85;3.55;3.4;2.2;1;1;1.05;1.05;1.25;1.85;2.1;1.5;1;1;1;1;1;2;2.5;1.5;1;2;2.45;2.25;2.05;1;1.01;1.25;1.6;1.875;1.71;1.65;1;1;1;1;1.65;1.4;1;1;1
1;1;1;1.05;1.05;1;1;1.01;1.26;1.85;2.475;2.585;1.96;1.25;1;1;1;1;1.4;1.4;2;1;2.5;2.35;2.2;2.2;1;1;1;1.55;1.66;1.75;1.8;1.5;0.5;1;1;1;1;0.5;1.5;1
1;1;1;1;1;1;1;1;1;1.5;2.16;2.16;1.7;1.2;0.5;0.5;1;1;1;1;1.4;1.025;1;1;1;1.05;1;1;1;1.26;1.5;1.75;1.935;1.71;0.75;0.5;1;1;1.25;0.5;0.9;0
1;1.025;1.025;1;1;1;1;1;1;1.25;1.5;1.4;1.21;1.06;0.5;0;0.5;1;1.25;1.25;1;1;1;1;1.075;1;1;4.5;1;1;1;1.5;1.66;1.5;1.2;1;0.5;1;1.6;0.5;0.5;0.5
0.5;0.5;1;1;1.075;1.075;1;4.5;4.5;1;1;1;1;1;1;1;1;1;1.6;1.6;1.25;1;1;1.025;1;1;1.65;1.5;1.65;1;0.5;1.25;1.25;1.15;2.46;2.25;1.55;0.5;1.5;0.5;0.75;3.65
0.5;0.5;1;1;1;1;1.65;2.15;2.15;1.65;0.5;0.5;1;1;2.4;3.65;3.3;2.05;1.5;1.5;1.6;1;0.5;1;1;0.5;1.075;2;1.075;4.5;5.5;1.5;0.5;1;2.35;2.2;2.2;1;1;0.5;1.1;3.2
2.4;2.4;1;1;1;0.5;0.5;2;2.075;1.075;5.5;6;1;0.5;2.35;3.55;3.4;2.2;1;1;1.5;1.04;0.54;1;1;0.5;1;1;2.3;1.5;2.15;1.5;1;1;1;1;2.45;2.25;1.55;0.5;1;1
3.5;2.04;1.08;1.04;1;0.5;0.5;1;1.65;1.65;1.5;2;2;1.5;1;1;1.05;1.05;0.5;0.5;1;1;2.4;1;1;0.5;0.5;0.5;1;2;1.075;2;5.5;1.5;0.5;1;2.35;2.2;2.2;0.5;0.5;1
1;1;1;1;1;0.5;0;0.5;1;1;1;2;2;1;1;1;1;1;1;1;0.5;2.5;2;1.04;1.04;1;1;0.5;1;1;1.65;1.4;1.5;1.5;1.5;1;1;1;1.05;0.5;0;1
1;1;1;1;1;1;1;1;1;1;1;1.4;1.4;1;1;1;1;1;1;1;2.05;1;2.25;2;0.5;0.75;1;0.5;0.5;1;1;1;1.5;2.5375;1.0375;1;1.25;1;0.5;1.7;1.625;0.775
1.725;1;2.25;3.25;1.5;0.25;0.75;1;1;1;1;1;1.5;2.0375;1.575;1.0375;1.25;1.25;0.5;0.5;2.2;2.15;1.525;1;1;1;1;1;1.2;1.2;1;1;1;1.725;1.325;1.25;1.5;1;0.5;1.675;2.325;1.1
3.525;3.475;2.675;1.525;1;1;1;1;1.2;1.4;1.2;1;1;1.325;1.65;1.575;1.75;1.5;0.5;0.5;0.55;2.925;1.6;1;2.25;2.025;0.525;0.875;1.425;1.55;1.25;1;1;1;1.5;1.5375;1.5375;1.75;1.5;1;1;2.425
3.7;3.475;2.8;1.6;1;1.025;1.05;1.15;1.55;1.975;1.8;1.25;1;1;1;1;1.5;2.25;2;1.25;0.5;2.225;2.35;2.15;1.525;1.005;1.13;1.425;1.7375;1.7925;1.68;1.325;1;1;1;1.325;1.525;1.45;2;1;1.25;2.35
